Bees: 6; mutation precent: 20
Iter best mean
0 44.73386183465459 29.32238580596451
1 44.73386183465459 32.37070592676482
2 45.63986409966025 34.7772744431861
3 45.63986409966025 36.296715741789356
4 47.11211778029445 38.22197055492639
5 48.41449603624009 38.87315968289921
6 58.26727066817667 42.06304265760664
7 58.26727066817667 44.97923744809361
8 59.73952434881087 45.224613061532644
9 63.7599093997735 45.89467723669309
10 63.7599093997735 45.89467723669309
11 66.42129105322763 46.96111740279351
12 66.42129105322763 46.96111740279351
13 66.42129105322763 46.96111740279351
14 66.42129105322763 46.96111740279351
15 66.42129105322763 46.96111740279351
16 66.42129105322763 47.234805587013966
17 66.42129105322763 48.34843337108342
18 66.42129105322763 48.34843337108342
19 66.42129105322763 48.697621744054366
20 66.42129105322763 49.10343525858815
21 66.42129105322763 49.10343525858815
22 66.42129105322763 50.6323140807852
23 66.42129105322763 50.6323140807852
24 66.42129105322763 50.67006417516044
25 66.42129105322763 50.67006417516044
26 66.42129105322763 51.07587768969423
27 66.42129105322763 52.15175537938845
28 67.27066817667044 52.29331823329559
29 67.27066817667044 52.29331823329559
30 67.27066817667044 53.18044545111363
31 67.27066817667044 53.18044545111363
32 67.27066817667044 53.20875802189505
33 67.27066817667044 53.89769724424311
34 67.27066817667044 53.89769724424311
35 67.27066817667044 53.89769724424311
36 67.27066817667044 54.095885239713105
37 67.27066817667044 54.095885239713105
38 67.27066817667044 54.095885239713105
39 67.27066817667044 54.095885239713105
40 67.27066817667044 54.095885239713105
41 67.27066817667044 54.095885239713105
42 67.27066817667044 54.5111362778407
43 67.27066817667044 54.5111362778407
44 67.27066817667044 54.80369950924878
45 67.27066817667044 54.80369950924878
46 67.27066817667044 54.84144960362401
47 67.27066817667044 55.709701774254434
48 67.27066817667044 55.97395243488109
49 67.27066817667044 55.97395243488109
50 68.1766704416761 56.12495281238203
51 68.28992072480182 56.143827859569654
52 68.28992072480182 56.143827859569654
53 68.28992072480182 56.143827859569654
54 68.28992072480182 56.143827859569654
55 68.28992072480182 56.143827859569654
56 68.28992072480182 56.94601736504342
57 68.28992072480182 56.94601736504342
58 68.28992072480182 56.993204983012454
59 68.28992072480182 58.3050207625519
60 68.28992072480182 58.3050207625519
61 68.28992072480182 58.3050207625519
62 68.28992072480182 58.3050207625519
63 69.30917327293318 58.805209513023776
64 69.30917327293318 58.805209513023776
65 69.30917327293318 58.805209513023776
66 69.30917327293318 58.87127217818044
67 69.30917327293318 58.87127217818044
68 69.30917327293318 58.87127217818044
69 77.12344280860702 60.17365043412608
70 77.12344280860702 60.17365043412608
71 77.12344280860702 60.17365043412608
72 77.12344280860702 60.39071347678368
73 77.12344280860702 60.39071347678368
74 77.12344280860702 60.42846357115892
75 77.12344280860702 60.42846357115892
76 77.12344280860702 60.42846357115892
77 77.12344280860702 60.42846357115892
78 77.12344280860702 60.42846357115892
79 77.12344280860702 60.78708946772367
80 77.12344280860702 60.83427708569271
81 77.12344280860702 60.83427708569271
82 77.12344280860702 60.83427708569271
83 77.12344280860702 60.83427708569271
84 77.12344280860702 60.83427708569271
85 77.12344280860702 61.136277840694596
86 78.42582106455266 61.35334088335221
87 78.42582106455266 61.35334088335221
88 78.42582106455266 61.35334088335221
89 78.42582106455266 61.35334088335221
90 78.42582106455266 61.35334088335221
91 78.42582106455266 61.39109097772744
92 78.42582106455266 61.39109097772744
93 78.42582106455266 61.42884107210267
94 78.42582106455266 61.42884107210267
95 78.42582106455266 61.42884107210267
96 78.42582106455266 61.42884107210267
97 78.42582106455266 61.881842204605505
98 78.42582106455266 61.91959229898075
99 78.42582106455266 61.91959229898075
